Change,PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,PriceBaseLineDistance,PriceConvLineDistance,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudWidth,ForwardCloudIntersectBear,ForwardCloudIntersectBull
1.69,1.0,0.0,0.0,0.0,0.0,1.0,1.0,181.20000000000027,78.05000000000018,1.0,0.0,0.0,-378.5153846153844,0.0,0.0
-2.42,1.0,0.0,0.0,0.0,0.0,1.0,1.0,87.5,49.54999999999973,1.0,0.0,0.0,-360.059615384615,0.0,0.0
0.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,110.09999999999991,72.14999999999964,1.0,0.0,0.0,-309.5499999999997,0.0,0.0
-0.46,1.0,0.0,0.0,0.0,0.0,1.0,1.0,92.80000000000018,52.5,1.0,0.0,0.0,-268.8173076923081,0.0,0.0
5.78,1.0,0.0,0.0,0.0,0.0,1.0,1.0,311.5,157.6500000000001,1.0,0.0,0.0,-179.06538461538594,0.0,0.0
-0.45,1.0,0.0,0.0,0.0,0.0,1.0,1.0,293.3000000000002,139.45000000000027,1.0,0.0,0.0,-147.32884615384683,0.0,0.0
-0.37,1.0,0.0,0.0,0.0,0.0,1.0,1.0,278.4000000000001,106.34999999999991,1.0,0.0,0.0,-106.48269230769256,0.0,0.0
0.17,1.0,0.0,0.0,0.0,0.0,1.0,1.0,285.4000000000001,110.55000000000018,1.0,0.0,0.0,-72.7692307692314,0.0,0.0
-9.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.35000000000036,-212.60000000000036,1.0,0.0,0.0,-61.50192307692305,0.0,0.0
0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.15000000000009,-199.80000000000018,1.0,0.0,0.0,-39.738461538461706,0.0,0.0
-0.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.35000000000036,-218.70000000000027,0.0,0.0,1.0,33.54038461538448,0.0,1.0
-2.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-350.5,-281.6500000000001,0.0,0.0,0.0,32.240384615383846,0.0,0.0
