PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudIntersectBear,ForwardCloudIntersectBull,Change,ForwardCloudWidth,PriceBaseLineDistance,PriceConvLineDistance
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.684927343531821,-0.4654779808896639,-0.46339624209795993,-0.15781005481536248
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0100621914411516,-0.4666780592091431,-0.4068416909240021,0.002357223684486161
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.28134396135807976,-0.4537190836106899,-0.4197787703618788,-0.019949676024887956
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7752163330283772,-0.4445922542095565,-0.511603124696081,-0.1665957331925181
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37803926496525664,-0.4327448316727304,-0.4749962490799664,-0.14298032819292938
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3401875654540598,-0.4178040124495359,-0.5388866302145078,-0.26192969005101596
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.95579431202149,-0.4230818633860114,-0.6107091033507641,-0.3690713494093083
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7218447889018854,-0.4437687199446044,-0.5960555119762981,-0.34380473535302003
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016883306979030878,-0.4322704111007178,-0.5914480325675571,-0.30769622032066724
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0456305812428255,-0.4166064277992922,-0.5394648237089383,-0.21463657027611402
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8695904080780686,-0.44416708360494145,-0.4742735072119286,-0.281308030301338
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4673940003206809,-0.4463128859819016,-0.46972023344329067,-0.27087114286748315
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4218157447211628,-0.4361125319749791,-0.4450385986497999,-0.20516548436598886
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2389544560185268,-0.4247283084986066,-0.4995333354998499,-0.2652321081644147
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6069315295426317,-0.4251597132763105,-0.5025869198923095,-0.2637989833227512
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21020718175473227,-0.477749327196488,-0.38821301927532775,-0.20351427530928962
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538038642981971,-0.47928916794927484,-0.3325438268897162,-0.19155079837018382
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.295996284270895,-0.464577142878418,-0.22333753062920472,-0.018205002304601606
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0511026412123137,-0.46281037822522025,-0.13572314767632254,0.06849905061605187
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09349214655186665,-0.4257806369158956,-0.12882096283656158,0.005130008704226955
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8377302212502338,-0.39864141121100916,0.021563551355403637,0.18028278826581998
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.5590699642335906,-0.3821757132504399,-0.05978104589225069,0.03603565746358306
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7583474328446914,-0.36720434657911366,-0.018765444881105552,0.10675725291090009
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.18558291189203505,-0.3518925940571713,-0.02599286356148355,0.0942952977659984
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5175767941872075,-0.32851070447254666,0.0035311417478605025,0.11280130115617729
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8408810526622363,-0.3188240463280925,-0.0737480324920812,-0.056805908365934445
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1783090760789348,-0.28674673212003815,-0.058046465408960066,-0.10397440858938746
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5399177543403817,-0.2604167020820013,-0.13277797456406845,-0.26520095327655263
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0470175556591785,-0.2526956787122583,-0.014013417098756987,-0.0940359993613282
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1459294365372263,-0.23487529493962214,-0.06995363768488258,-0.19049153218286702
