Date,Close,Open,High,Low,Vol,Change,ich_base_line,ich_conv_line,ich_span_a,ich_span_b
2019-01-02,3873.8,3809.7,3894.8,3768.1,554470.0,1.69,3692.6,3795.75,4354.900000000001,4998.85
2019-01-03,3780.1,3874.1,3875.8,3753.0,450320.0,-2.42,3692.6,3730.55,4327.75,4994.05
2019-01-04,3802.7,3780.5,3823.9,3720.0,488700.0,0.6,3692.6,3730.55,4318.25,4947.450000000001
2019-01-05,3785.4,3802.8,3846.7,3769.0,468450.0,-0.46,3692.6,3732.9,4174.55,4947.450000000001
2019-01-06,4004.1,3785.7,4034.1,3758.5,529890.0,5.78,3692.6,3846.45,4107.075,4947.450000000001
2019-01-07,3985.9,4004.3,4028.0,3945.5,500880.0,-0.45,3692.6,3846.45,4078.6000000000004,4932.25
2019-01-08,3971.0,3985.8,4070.5,3943.1,514080.00000000006,-0.37,3692.6,3864.65,4051.4,4923.05
2019-01-09,3978.0,3971.0,4014.2,3957.5,473420.0,0.17,3692.6,3867.45,3986.975,4896.7
2019-01-10,3603.7,3978.9,4007.7,3562.1,697310.0,-9.41,3717.05,3816.3,3761.25,4885.65
2019-01-11,3616.5,3603.3,3655.7,3563.1,551640.0,0.35,3725.6499999999996,3816.3,3693.825,4885.65
2019-01-12,3597.2,3616.6,3633.9,3561.3,435060.0,-0.53,3832.55,3815.9,3681.825,4885.65
2019-01-13,3490.2,3597.3,3617.6,3473.2,452790.0,-2.98,3840.7,3771.85,3632.925,4885.65
2019-01-14,3638.1,3490.4,3672.0,3490.4,539930.0,4.24,3840.7,3771.85,3693.325,4885.65
2019-01-15,3571.3,3637.5,3660.8,3545.7,544850.0,-1.84,3840.7,3771.85,3733.6000000000004,4885.65
2019-01-16,3588.0,3570.6,3644.1,3561.4,487340.0,0.47,3840.7,3771.85,3736.8,4885.65
2019-01-17,3626.4,3588.1,3636.7,3554.8,525100.0,1.07,3840.7,3743.7,3736.8,4885.65
2019-01-18,3605.6,3626.3,3627.9,3575.7,488160.0,-0.57,3840.7,3740.45,3736.8,4885.65
2019-01-19,3677.8,3605.8,3715.2,3604.1,537060.0,2.0,3771.85,3594.2,3762.8,4885.65
2019-01-20,3542.3,3676.2,3699.1,3503.9,563310.0,-3.68,3771.85,3594.2,3742.225,4885.65
2019-01-21,3536.7,3542.7,3561.4,3505.4,394170.0,-0.16,3771.85,3594.2,3789.55,4885.65
2019-01-22,3580.1,3536.9,3607.9,3465.2,447700.0,1.23,3767.85,3590.2,3815.525,4885.65
2019-01-23,3561.5,3580.1,3608.3,3532.8,445870.0,-0.52,3767.85,3590.2,3788.55,4885.65
2019-01-24,3574.3,3561.4,3587.0,3539.7,428600.0,0.36,3767.85,3590.2,3788.55,4877.15
2019-01-25,3572.0,3574.3,3582.6,3542.2,448890.0,-0.06,3767.85,3590.2,3788.55,4836.55
2019-01-26,3570.9,3572.0,3652.5,3556.1,432550.0,-0.03,3767.85,3590.2,3788.55,4826.45
2019-01-27,3555.6,3570.9,3583.2,3509.2,464020.0,-0.43,3767.85,3590.2,3788.55,4826.45
2019-01-28,3442.8,3555.8,3561.2,3395.7,620850.0,-3.17,3733.1,3547.3999999999996,3744.175,4826.45
2019-01-29,3414.8,3442.8,3450.1,3368.2,585460.0,-0.81,3719.35,3510.35,3711.575,4821.9
2019-01-30,3460.0,3414.6,3479.0,3394.2,600250.0,1.32,3719.35,3510.35,3711.575,4815.15
2019-01-31,3437.2,3460.0,3484.7,3427.0,477070.0,-0.66,3719.35,3510.35,3712.75,4527.75
2019-02-01,3467.9,3437.7,3485.7,3415.3,481580.0,0.9,3719.35,3510.35,3769.5249999999996,4462.35
2019-02-02,3502.5,3467.9,3514.5,3447.8,443600.0,1.0,3719.35,3510.35,3769.5249999999996,4452.45
2019-02-03,3459.1,3502.3,3507.8,3431.3,451660.0,-1.24,3691.2,3510.35,3778.625,4452.45
2019-02-04,3462.8,3459.0,3479.7,3437.1,503920.0,0.11,3687.95,3475.7,3780.0249999999996,4419.75
2019-02-05,3468.4,3463.0,3485.9,3450.3,460950.0,0.16,3541.7,3464.7,3766.675,4095.2
2019-02-06,3404.3,3468.5,3478.0,3383.9,514210.00000000006,-1.85,3541.7,3441.35,3770.975,3960.35
2019-02-07,3397.7,3404.9,3421.8,3390.3,471360.0,-0.2,3541.7,3449.2,3824.2250000000004,3936.35
2019-02-08,3661.7,3397.3,3721.1,3382.5,699230.0,7.77,3544.6499999999996,3551.8,3806.2749999999996,3835.8
2019-02-09,3661.4,3661.6,3675.3,3633.2,454800.0,-0.01,3544.6499999999996,3551.8,3806.2749999999996,3835.8
2019-02-10,3679.0,3661.0,3680.6,3617.1,501900.0,0.48,3544.6499999999996,3551.8,3806.2749999999996,3808.55
2019-02-11,3631.8,3678.8,3681.1,3623.8,517280.0,-1.28,3544.6499999999996,3551.8,3806.2749999999996,3808.55
2019-02-12,3632.0,3631.8,3656.4,3594.4,545820.0,0.01,3544.6499999999996,3551.8,3792.2,3808.55
2019-02-13,3611.5,3632.0,3663.5,3599.2,558020.0,-0.56,3544.6499999999996,3551.8,3790.575,3808.55
2019-02-14,3592.6,3611.5,3624.5,3580.2,498140.0,-0.52,3544.6499999999996,3551.8,3683.0249999999996,3808.55
2019-02-15,3604.7,3592.6,3648.3,3581.4,516210.00000000006,0.34,3544.6499999999996,3551.8,3683.0249999999996,3758.8
2019-02-16,3616.8,3604.7,3641.9,3599.7,485630.0,0.34,3544.6499999999996,3551.8,3683.0249999999996,3746.55
2019-02-17,3664.2,3616.8,3689.9,3607.9,580510.0,1.31,3544.6499999999996,3635.05,3679.0249999999996,3746.55
2019-02-18,3896.0,3664.2,3903.7,3655.1,933150.0,6.33,3635.95,3741.95,3679.0249999999996,3692.6
2019-02-19,3914.3,3896.4,3993.8,3863.7,1440000.0,0.47,3681.0,3787.0,3679.0249999999996,3692.6
2019-02-20,3972.4,3914.3,3983.6,3881.2,698010.0,1.48,3681.0,3787.0,3679.0249999999996,3692.6
2019-02-21,3936.6,3972.0,4011.5,3909.2,668160.0,-0.9,3689.85,3795.85,3679.0249999999996,3692.6
2019-02-22,3965.2,3937.4,3983.1,3931.7,649550.0,0.73,3689.85,3795.85,3679.0249999999996,3692.6
2019-02-23,4120.4,3965.2,4152.6,3939.4,727850.0,3.91,3760.4,3867.0,3640.25,3692.6
2019-02-24,3755.2,4120.5,4194.2,3738.7,977780.0,-8.86,3788.35,3896.95,3614.85,3692.6
2019-02-25,3833.7,3755.7,3870.7,3753.8,765870.0,2.09,3788.35,3901.05,3614.85,3692.6
2019-02-26,3810.3,3833.5,3845.5,3775.0,2089999.9999999998,-0.61,3788.35,3924.6499999999996,3614.85,3692.6
2019-02-27,3814.6,3810.3,3836.4,3701.9,2820000.0,0.11,3788.35,3948.05,3614.85,3692.6
2019-02-28,3816.6,3814.6,3883.7,3783.3,2310000.0,0.05,3788.35,3948.05,3614.85,3692.6
2019-03-01,3821.9,3816.7,3855.8,3816.4,1740000.0,0.14,3788.35,3948.05,3600.7749999999996,3692.6
2019-03-02,3823.1,3821.9,3843.2,3783.6,1610000.0,0.03,3788.35,3948.05,3581.825,3692.6
