PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudIntersectBear,ForwardCloudIntersectBull,Close,ForwardCloudWidth,PriceBaseLineDistance,PriceConvLineDistance
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3942195237265782,0.5229389267477703,0.3980860244261731,0.48413058977632567
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39654614676387884,0.5287786156227564,0.39953195357146587,0.48074812223309143
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4038401721949884,0.5272595597534449,0.419131397766332,0.5117408101341376
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074389728021499,0.5268873247389738,0.42731803127971,0.5270879275754005
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054700525045412,0.5257645248289627,0.4220274350428868,0.5186914493210188
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074623012416951,0.5252353469995776,0.4273807160692459,0.5271874119149074
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073472142732724,0.5247256189650735,0.42707147110753574,0.5266966225066733
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4077857889367208,0.5260378975219884,0.4276857820449868,0.5285669280894029
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4097920347376017,0.5270893516406395,0.43307667394506727,0.5407703404022479
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4128931619678005,0.5435966704102293,0.41701265188002146,0.5539951252673638
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4039785876029562,0.5467444897476275,0.3896758151634507,0.5207109814130088
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40206721078955876,0.5493105182160323,0.3845398414074825,0.5125598978627443
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40186192052156167,0.5524386188673763,0.3839882152595673,0.5116844356750836
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40244357628088684,0.5559688014534462,0.38555115601199375,0.5141649118734555
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40374685843680785,0.5588155523069515,0.38905314625406145,0.5197227703072402
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4035042426655386,0.5617576698966469,0.388401224442889,0.5186881331763687
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.411879152462239,0.5655088810273076,0.4109050638862481,0.552005438477226
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40441716226640456,0.5782765509866961,0.3850099773290013,0.5029895044021818
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4051838903127877,0.5807441652856117,0.3870702174117452,0.5062592230273082
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40630054495234774,0.5832364279420951,0.39007072933752635,0.5110212067450379
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4057017816706895,0.5867624875301717,0.38846181973944033,0.506113312662698
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40426630502401273,0.5886311019249921,0.384604615690003,0.49999170963837414
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40628032697140865,0.5917460269088363,0.3900164025199287,0.5085805242824689
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40435806355289017,0.5937446950012235,0.3848511758621771,0.5003830147071011
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4035726727548709,0.595992266689851,0.38274078794780453,0.4961383495548071
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.41769104436758153,0.6147533416450585,0.40540969733694127,0.5321152028651486
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4130720133376465,0.6312862947065188,0.3929981090088491,0.47369799870670326
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4148480852016821,0.6354787562528401,0.3977705109855093,0.4759032348991057
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4132601960833105,0.6374550167474387,0.3935037663111046,0.4691316675233369
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4149507303356807,0.6393774093769523,0.3979794602839622,0.4762348493641289
